"kpi","last","current"
"products",269492864,269961900
"relevance",0,0
"ranking",0,0
"uncategorised",29221480,29309414
"classificationaccuracy",0,0
"leafcategories",5000,5000
"unmatched",247694202,248104870
"percentunmatched",92.06,91.90
"match2",14149505,14188484
"match3",3872533,3885766
"match4",1598565,1602965
"match5plus",2178059,2179815
"matchingaccuracy",0,0
"matchingbound",3872533,3885766
"attribute1",63267861,63381155
"attribute2to4",22377642,22421693
"attribute5to9",6050075,6064784
"attribute10plus",634023,636978
"attributeaccuracy",0,0
"attributes",0,0
"attributesboundingbox",0,0
"brands",0,0
"brandproducts",209427311,209891403
"brandpercent",77.71,77.74
"brandaccuracy",0,0
"mpn",57074366,57123560
"mpnpercent",21.17,21.15
"mpnaccuracy",0,0
